,Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб),Форма двигателя
0,ABM,ABM Jazz 125,2015,Вязьма,7400,125,11.0,1.0,МКПП-4,цепь,чёрный,36000,рядное
1,ABM,ABM ZR 200,2013,Егорьевск,15000,200,19.0,1.0,МКПП-5,цепь,чёрный,63000,v-образное
2,ABM,ABM ZR 200,2014,Сиверский,1500,200,15.0,1.0,МКПП-5,цепь,зелёный,90000,v-образное
3,ABM,ABM Alpha 110,2023,Татарская Каргала,700,110,9.0,1.0,МКПП-4,цепь,чёрный,62000,рядное
4,ABM,ABM Alpha 110,2023,Фрязино,500,110,7.0,1.0,МКПП-4,цепь,чёрный,75000,рядное
5,ABM,ABM Alpha 110,2022,Екатеринбург,1600,110,8.0,1.0,МКПП-4,цепь,красный,92000,рядное
6,ABM,ABM ZR 200,2014,Митинка,6300,250,20.0,1.0,МКПП-5,цепь,синий,70000,v-образное
7,ABM,ABM Alpha 110,2023,Москва,800,110,6.0,1.0,МКПП-4,цепь,чёрный,60000,рядное
8,ABM,ABM Alpha 110,2014,Рудничный,2900,125,10.0,1.0,МКПП-4,цепь,чёрный,60000,рядное
9,ABM,ABM Pegas 200,2014,Воронеж,500,200,14.0,1.0,МКПП-5,цепь,красный,80000,рядное
10,ABM,ABM Alpha 110,2012,Владимир,20000,72,7.0,1.0,МКПП-4,цепь,чёрный,25000,ротор
11,ABM,ABM Jazz 125,2018,Воронеж,15000,125,9.0,1.0,МКПП-5,цепь,чёрный,61000,рядное
12,ABM,ABM Alpha 50,2021,Екатеринбург,10,49,7.0,2.0,МКПП-1,цепь,белый,30000,рядное
13,ABM,ABM Phantom 125,2012,Янтиково,2400,125,11.0,1.0,МКПП-5,цепь,синий,35000,оппозитное
14,ABM,ABM Phantom 125,2020,Кинель-Черкассы,1000,125,10.0,1.0,МКПП-4,цепь,чёрный,55000,рядное
15,ABM,ABM Pegas 200,2014,Сольцы,5000,200,18.0,1.0,МКПП-5,цепь,красный,60000,рядное
16,ABM,ABM Alpha 110,2020,Троицкое,3000,110,8.0,1.0,МКПП-4,цепь,зелёный,47000,рядное
17,ABM,ABM Phantom 125,1991,Киров,10000,125,10.0,1.0,МКПП-4,цепь,красный,33000,рядное
18,ABM,ABM Jazz 125,2016,Санкт-Петербург,2500,150,15.0,1.0,МКПП-5,цепь,чёрный,55000,рядное
19,ABM,ABM Alpha 110,2021,Иркутск,150,110,9.0,1.0,АКПП,цепь,красный,50000,рядное
20,ABM,ABM Alpha 110,2021,Кингисепп,2500,110,9.0,1.0,МКПП-4,цепь,белый,75000,рядное
