Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
ABM,ABM Jazz 125,2015,Вязьма,7400,125,,,4 передачи,,чёрный,36000
ABM,ABM ZR 200,2013,Егорьевск,15000,200,19,,5 передач,цепь,чёрный,63000
ABM,ABM ZR 200,2014,Сиверский,1500,200,15,,5 передач,цепь,зелёный,90000
ABM,ABM Raptor 200,2011,Альметьевск,1000,200,17,1 цилиндр,5 передач,цепь,чёрный,90000
ABM,ABM Alpha 110,2023,Татарская Каргала,700,110,9,1 цилиндр,4 передачи,цепь,чёрный,62000
ABM,ABM Alpha 110,2023,Фрязино,500,110,7,1 цилиндр/рядное,4 передачи,цепь,чёрный,75000
ABM,ABM Alpha 110,2022,Екатеринбург,1600,110,8,1 цилиндр/рядное,4 передачи,цепь,красный,92000
ABM,ABM Cross,2021,Вичуга,480,50,7,1 цилиндр,2 передачи,кардан,красный,50000
ABM,ABM ZR 200,2014,Митинка,6300,250,20,1 цилиндр/v-образное,5 передач,цепь,синий,70000
ABM,ABM Alpha 110,2023,Москва,800,110,6,,4 передачи,цепь,чёрный,60000
ABM,ABM Alpha 110,2014,Рудничный,2900,125,10,1 цилиндр/рядное,4 передачи,цепь,чёрный,60000
ABM,ABM Pegas 200,2014,Воронеж,500,200,14,1 цилиндр/рядное,5 передач,цепь,красный,80000
ABM,ABM Alpha 110,2012,Владимир,20000,72,7,1 цилиндр/ротор,4 передачи,цепь,чёрный,25000
ABM,ABM Jazz 125,2018,Воронеж,15000,125,9,1 цилиндр/рядное,5 передач,цепь,чёрный,61000
ABM,ABM RX 200,2015,Карманово,6000,200,16,1 цилиндр,5 передач,цепь,синий,125000
ABM,ABM Alpha 50,2021,Екатеринбург,10,49,,2 цилиндра/рядное,1 передача,цепь,белый,30000
ABM,ABM Phantom 125,2012,Янтиково,2400,125,11,1 цилиндр/оппозитное,5 передач,цепь,синий,35000
ABM,ABM Phantom 125,2020,Кинель-Черкассы,1000,125,10,1 цилиндр/рядное,4 передачи,цепь,чёрный,55000
ABM,ABM Raptor 140,2022,Кунгур,590,49,,1 цилиндр,3-скоростной автомат,цепь,белый,75000
ABM,ABM ZR 250,2014,Заозерный,8955,250,17,1 цилиндр,5 передач,цепь,красный,170000
ABM,ABM Road Star 250,2020,Краснодар,2500,250,22,1 цилиндр,5 передач,,чёрный,155000
ABM,ABM Pegas 200,2014,Сольцы,5000,200,18,1 цилиндр/рядное,5 передач,цепь,красный,60000
ABM,ABM Raptor 200,2014,Смоленск,2000,200,12,1 цилиндр,,цепь,оранжевый,100000
ABM,ABM Alpha 110,2020,Троицкое,3000,110,8,1 цилиндр,4 передачи,цепь,зелёный,47000
ABM,ABM Phantom 125,1991,Киров,10000,125,10,1 цилиндр,4 передачи,цепь,красный,33000
ABM,ABM Jazz 125,2016,Санкт-Петербург,2500,150,15,1 цилиндр,5 передач,цепь,чёрный,55000
ABM,ABM Alpha 110,2021,Иркутск,150,110,9,,АКПП,цепь,красный,50000
ABM,ABM Alpha 110,2021,Кингисепп,2500,110,9,1 цилиндр,4 передачи,цепь,белый,75000
ABM,ABM Alpha 110,2020,Шаля,10020,110,8,1 цилиндр/рядное,4 передачи,цепь,чёрный,45000
ABM,ABM Jazz 125,2015,Гремяча,10880,127,11,1 цилиндр/рядное,4 передачи,цепь,зелёный,50000
ABM,ABM Alpha 50,2010,Челябинск,3500,72,7,1 цилиндр,4 передачи,цепь,зелёный,23000
ABM,ABM Alpha 110,2021,Саратов,9000,110,7,1 цилиндр,4 передачи,цепь,чёрный,50000
ABM,ABM Alpha 110,2018,Архангельское,5000,110,5,1 цилиндр/рядное,4 передачи,цепь,чёрный,50000
ABM,ABM Alpha 110,2023,Саратов,10,49,3,,,,серебристый,25500
ABM,ABM Alpha 110,2023,Фрязино,500,110,7,1 цилиндр/рядное,4 передачи,цепь,чёрный,75000
ABM,ABM Alpha 110,2010,Москва,3360,72,7,1 цилиндр/рядное,4 передачи,цепь,чёрный,48000
ABM,ABM GX 250,2016,Тонкино,6500,250,21,1 цилиндр/v-образное,5 передач,цепь,красный,80000
ABM,ABM Alpha 110,2018,Боринское,1700,110,9,1 цилиндр/ротор,4 передачи,цепь,синий,30000
Aermacchi,Aermacchi Chimera,2012,Елизаветинская,55555,250,22,2 цилиндра/рядное,5 передач,цепь,красный,120000
Aermacchi,Aermacchi Ala Azzurra,2014,Самара,15000,250,20,,5 передач,цепь,белый,117500
Aermacchi,Aermacchi Ala Azzurra,2017,Бор,6000,72,7,1 цилиндр,4 передачи,цепь,синий,14000
AJP,AJP PR4,2018,Мигулинская,4000,150,,,,,чёрный,12000
AJP,AJP PR4,2022,Владикавказ,1200,50,,,4 передачи,цепь,синий,80000
AJP,AJP PR4,2009,Кемерово,10000,60,60,1 цилиндр/ротор,Вариатор,ремень,красный,50000
AJP,AJP PR3,2018,Гагарин,5450,110,8,,,,красный,45000
Alfer,Alfer TX 300,2012,Старый Оскол,9500,72,6,1 цилиндр/v-образное,4 передачи,цепь,синий,20000
Alfer,Alfer VR 250,2016,Гудермес,120000,250,,1 цилиндр/рядное,4 передачи,цепь,синий,48000
Alfer,Alfer TX 300,2019,Краснодар,1000,110,20,1 цилиндр/ротор,4 передачи,цепь,синий,35000
Alfer,Alfer VR 250,2014,Бронницы,311,125,7,1 цилиндр,4 прямых и задняя,цепь,синий,50000
Alfer,Alfer VR 2000,2021,Старое Барятино,5000,125,9,1 цилиндр,4 передачи,цепь,красный,85000
Alfer,Alfer VR 250,2018,Большой Мичкас,7799,110,7,1 цилиндр,4 передачи,цепь,белый,30000
Alfer,Alfer TX 300,2021,Казань,4600,110,8,1 цилиндр,,,чёрный,75000
Alfer,Alfer VR 2000,2023,Ростов-на-Дону,1000,49,15,1 цилиндр,4 передачи,цепь,чёрный,115000
Alfer,Alfer VR 250,2014,Ливны,7856,250,18,1 цилиндр/v-образное,5 передач,цепь,чёрный,80000
Alfer,Alfer VR 250,2022,Кинешма,2000,125,9,2 цилиндра/рядное,4 передачи,цепь,чёрный,65000
Alfer,Alfer VR 250,2022,Вахромейка,8000,110,9,1 цилиндр,,цепь,серый,65000
Alfer,Alfer VR 250,2022,Хучни,1000,1,50,1 цилиндр,Вариатор,цепь,красный,18000
Amazonas,Amazonas 1600,2016,Истра,2222,1,19,2 цилиндра/рядное,4 передачи,цепь,белый,64000
American Eagle,American Eagle Raptor,2016,Истра,11111,125,19,,4 передачи,цепь,белый,69000
American IronHorse,American IronHorse Texas Chopper,2008,Москва,2871,1917,,2 цилиндра/v-образное,6 передач,ремень,чёрный,1515218
